Dataset,Nodes,Optimal,Algorithm,Cost,Error,Elapsed time,Memory usage
fl1400,1400,20127,tat,28154,0.39881750881899936,24.070997953414917,433.6511650085449
fl1400,1400,20127,chr,22441,0.11496994087544099,284.98436641693115,433.6510887145996
u1432,1432,152970,tat,222322,0.4533699418186572,26.05491042137146,471.88307189941406
u1432,1432,152970,chr,171613,0.12187356998104204,351.53706908226013,471.88299560546875
fl1577,1577,22204,tat,31880,0.4357773374166818,31.974507093429565,548.8676795959473
fl1577,1577,22204,chr,24403,0.09903620969194749,122.41248369216919,548.867603302002
d1655,1655,62128,tat,87179,0.4032159412825136,33.73406624794006,607.9840431213379
d1655,1655,62128,chr,70916,0.14144990986350758,509.1956293582916,607.9839668273926
vm1748,1748,336556,tat,443968,0.3191504534163705,38.35448336601257,676.1299858093262
vm1748,1748,336556,chr,376621,0.11904408181699333,495.7826232910156,676.1299095153809
u1817,1817,57201,tat,90308,0.5787835876995158,40.69778633117676,725.0197448730469
u1817,1817,57201,chr,66037,0.15447282390167993,348.9944453239441,725.1724319458008
rl1889,1889,316536,tat,449621,0.4204419086612581,45.15307879447937,778.9198837280273
rl1889,1889,316536,chr,346110,0.09343013116991439,213.2416980266571,778.919807434082
d2103,2103,79952,tat,141797,0.7735266159695817,55.986034631729126,944.3231353759766
d2103,2103,79952,chr,83869,0.04899189513708224,75.2357497215271,944.3230590820312
u2152,2152,64253,tat,101368,0.5776383982070876,58.208765268325806,990.0359649658203
u2152,2152,64253,chr,73838,0.14917591396510677,683.2658874988556,990.035888671875
u2319,2319,234256,tat,405728,0.7319855201147463,69.42602849006653,1137.4989166259766
u2319,2319,234256,chr,251492,0.07357762447920213,244.29725408554077,1137.4988403320312
pr2392,2392,378032,tat,526125,0.3917472594912601,72.11863207817078,1205.0574760437012
pr2392,2392,378032,chr,427470,0.13077728869513683,2109.9222157001495,1205.0573997497559
pcb3038,3038,137694,tat,198744,0.4433744389733758,113.8048152923584,2101.0660514831543
pcb3038,3038,137694,chr,153388,0.11397737011053488,3286.9829239845276,2101.065975189209
fl3795,3795,28723,tat,40530,0.41106430386798043,192.73976016044617,3065.094284057617
